Adres,pelny_adres,lat,lon
al. Niepodleglosci 165,"al. Niepodleglosci 165, Warszawa, Polska",52.2069922,21.0079843
al. Niepodleglosci 177,"al. Niepodleglosci 177, Warszawa, Polska",52.2100663,21.0062763
al. Niepodleglosci 212-214,"al. Niepodleglosci 212-214, Warszawa, Polska",52.1896185,21.0166862
al. Niepodleglosci 225,"al. Niepodleglosci 225, Warszawa, Polska",52.2185312,21.0045216
al. Niepodleglosci 235/237,"al. Niepodleglosci 235/237, Warszawa, Polska",52.2208387,21.0041154
al. Prymasa Tysiaclecia 32,"al. Prymasa Tysiaclecia 32, Warszawa, Polska",52.2469165,20.957878
al. Prymasa Tysiaclecia 46,"al. Prymasa Tysiaclecia 46, Warszawa, Polska",52.2234069,20.960316
al. Prymasa Tysiaclecia 46,"al. Prymasa Tysiaclecia 46, Warszawa, Polska",52.2234069,20.960316
al. Prymasa Tysiaclecia 62,"al. Prymasa Tysiaclecia 62, Warszawa, Polska",52.2347446,20.9572608
al. Prymasa Tysiaclecia 62,"al. Prymasa Tysiaclecia 62, Warszawa, Polska",52.2347446,20.9572608
al. Przyjaciol 8,"al. Przyjaciol 8, Warszawa, Polska",52.221174,21.0234054
al. Roz 6,"al. Roz 6, Warszawa, Polska",52.221964,21.0228421
al. Solidarnosci 60B,"al. Solidarnosci 60B, Warszawa, Polska",52.2464106,21.0052398
Al. Ujazdowskie 18,"Al. Ujazdowskie 18, Warszawa, Polska",52.2262875,21.0238403
Al. Ujazdowskie 23,"Al. Ujazdowskie 23, Warszawa, Polska",52.2233545,21.0235948
Al. Ujazdowskie 28,"Al. Ujazdowskie 28, Warszawa, Polska",52.2274431,21.0237288
Al. Ujazdowskie 37,"Al. Ujazdowskie 37, Warszawa, Polska",52.2255512,21.0229531
al. Wojska Polskiego 18,"al. Wojska Polskiego 18, Warszawa, Polska",52.2642446,20.9888037
al. Wojska Polskiego 29,"al. Wojska Polskiego 29, Warszawa, Polska",52.2626366,20.9859817
al. Wojska Polskiego 38,"al. Wojska Polskiego 38, Warszawa, Polska",52.2639183,20.9855075
al. Wojska Polskiego 41,"al. Wojska Polskiego 41, Warszawa, Polska",52.262274,20.9806606
al. Wojska Polskiego 50/54,"al. Wojska Polskiego 50/54, Warszawa, Polska",52.2635978,20.9823372
al. Wojska Polskiego 58,"al. Wojska Polskiego 58, Warszawa, Polska",52.2633747,20.9800245
al. Wojska Polskiego 60,"al. Wojska Polskiego 60, Warszawa, Polska",52.2629371,20.9799922
al. Wyzwolenia 11,"al. Wyzwolenia 11, Warszawa, Polska",52.2194322,21.0199665
al. Wyzwolenia 6,"al. Wyzwolenia 6, Warszawa, Polska",52.2200142,21.0225765
Andrzejowska 9,"Andrzejowska 9, Warszawa, Polska",52.221477,20.9815484
Andrzejowska 9,"Andrzejowska 9, Warszawa, Polska",52.221477,20.9815484
Architektow 15,"Architektow 15, Warszawa, Polska",52.2056571,20.9690573
Archiwalna 5,"Archiwalna 5, Warszawa, Polska",52.2080905,20.9774215
Asfaltowa 16,"Asfaltowa 16, Warszawa, Polska",52.2068562,21.0072981
Brechta 2/4,"Brechta 2/4, Warszawa, Polska",52.2587693,21.030006
Brechta 7,"Brechta 7, Warszawa, Polska",52.259569,21.030612
Brechta 9G,"Brechta 9G, Warszawa, Polska",52.2594582,21.0308245
Trentowskiego 6,"Trentowskiego 6, Warszawa, Polska",52.2663217,20.9788876
Trentowskiego 7,"Trentowskiego 7, Warszawa, Polska",52.2663217,20.9788876
Bagatela 10,"Bagatela 10, Warszawa, Polska",52.2139455,21.0232539
Bagatela 12,"Bagatela 12, Warszawa, Polska",52.213899,21.0229182
Bagatela 13,"Bagatela 13, Warszawa, Polska",52.2133549,21.0228067
Bagno 3,"Bagno 3, Warszawa, Polska",52.2356249,21.0060631
Bagno 5-7,"Bagno 5-7, Warszawa, Polska",52.2356492,21.004892
Bagno 7,"Bagno 7, Warszawa, Polska",52.2353387,21.0044602
Banderii 4,"Banderii 4, Warszawa, Polska",52.2452416,20.9636507
Banderii 4,"Banderii 4, Warszawa, Polska",52.2452416,20.9636507
Barska 16/20,"Barska 16/20, Warszawa, Polska",52.2192085,20.9790955
Barska 16/20,"Barska 16/20, Warszawa, Polska",52.2192085,20.9790955
Barska 2,"Barska 2, Warszawa, Polska",52.2191069,20.982417
Barska 28/30,"Barska 28/30, Warszawa, Polska",52.2192949,20.9770124
Barska 38,"Barska 38, Warszawa, Polska",52.2192338,20.9742219
Barska 5,"Barska 5, Warszawa, Polska",52.2185304,20.9813841
Basniowa 3,"Basniowa 3, Warszawa, Polska",52.2139229,20.9771377
Bednarska 13/15,"Bednarska 13/15, Warszawa, Polska",52.2450035,21.0177581
Bednarska 21,"Bednarska 21, Warszawa, Polska",52.2448927,21.0167204
Bednarska 8,"Bednarska 8, Warszawa, Polska",52.2455262,21.0190915
Belgijska 14,"Belgijska 14, Warszawa, Polska",52.2026876,21.024146
Belgijska 5,"Belgijska 5, Warszawa, Polska",52.202587,21.0255695
Belwederska 26/30,"Belwederska 26/30, Warszawa, Polska",52.2074877,21.0313434
Bialobrzeska 10,"Bialobrzeska 10, Warszawa, Polska",52.2096415,20.9705507
Bialobrzeska 13A,"Bialobrzeska 13A, Warszawa, Polska",52.2112141,20.9714108
Bialobrzeska 13A,"Bialobrzeska 13A, Warszawa, Polska",52.2112141,20.9714108
Bialobrzeska 15,"Bialobrzeska 15, Warszawa, Polska",52.2120568,20.9705159
Bialobrzeska 2,"Bialobrzeska 2, Warszawa, Polska",52.2077211,20.9688558
Bialobrzeska 22,"Bialobrzeska 22, Warszawa, Polska",52.2127675,20.9733267
Bialobrzeska 23,"Bialobrzeska 23, Warszawa, Polska",52.2146432,20.974265
Bialobrzeska 26,"Bialobrzeska 26, Warszawa, Polska",52.2131954,20.9736876
Bialobrzeska 27,"Bialobrzeska 27, Warszawa, Polska",52.2151892,20.974355
Bialobrzeska 27,"Bialobrzeska 27, Warszawa, Polska",52.2151892,20.974355
Bialobrzeska 34,"Bialobrzeska 34, Warszawa, Polska",52.2151668,20.9754678
Bialobrzeska 58,"Bialobrzeska 58, Warszawa, Polska",52.2192147,20.9780804
Bialobrzeska 68,"Bialobrzeska 68, Warszawa, Polska",52.2209615,20.978681
Bialostocka 11,"Bialostocka 11, Warszawa, Polska",52.2585709,21.0487865
Bialostocka 11,"Bialostocka 11, Warszawa, Polska",52.2585709,21.0487865
Bialostocka 22,"Bialostocka 22, Warszawa, Polska",52.254878,21.0402217
Bialostocka 48,"Bialostocka 48, Warszawa, Polska",52.2577919,21.0489894
Bialostocka 7,"Bialostocka 7, Warszawa, Polska",52.2568148,21.0444436
Bialostocka 7,"Bialostocka 7, Warszawa, Polska",52.2568148,21.0444436
Bialostocka 9,"Bialostocka 9, Warszawa, Polska",52.2575815,21.0464337
Bielanska 10,"Bielanska 10, Warszawa, Polska",52.244738,21.0062525
Bielanska 4a,"Bielanska 4a, Warszawa, Polska",52.2443543,21.0073008
Bieniewicka 4,"Bieniewicka 4, Warszawa, Polska",52.2737545,20.9782611
Bitwy pod Rokitna 1,"Bitwy pod Rokitna 1, Warszawa, Polska",52.2617827,20.9858057
Bitwy pod Rokitna 29/31,"Bitwy pod Rokitna 29/31, Warszawa, Polska",52.2622515,20.9863107
Bitwy Warszawskiej 1920 r. 10,"Bitwy Warszawskiej 1920 r. 10, Warszawa, Polska",52.2132876,20.9701218
Bitwy Warszawskiej 1920 r. 12,"Bitwy Warszawskiej 1920 r. 12, Warszawa, Polska",52.2132876,20.9701218
Bitwy Warszawskiej 1920 r. 14,"Bitwy Warszawskiej 1920 r. 14, Warszawa, Polska",52.2132876,20.9701218
Bitwy Warszawskiej 1920 r. 3,"Bitwy Warszawskiej 1920 r. 3, Warszawa, Polska",52.2132876,20.9701218
Bonifraterska 3/11,"Bonifraterska 3/11, Warszawa, Polska",52.2521086,21.0009565
Braci Zaluskich 1,"Braci Zaluskich 1, Warszawa, Polska",52.2666954,20.9692152
Braci Zaluskich 1,"Braci Zaluskich 1, Warszawa, Polska",52.2666954,20.9692152
Braci Zaluskich 17,"Braci Zaluskich 17, Warszawa, Polska",52.2679875,20.9688907
Braci Zaluskich 3,"Braci Zaluskich 3, Warszawa, Polska",52.267471,20.9688802
Braci Zaluskich 4,"Braci Zaluskich 4, Warszawa, Polska",52.2657428,20.9697967
Braci Zaluskich 4,"Braci Zaluskich 4, Warszawa, Polska",52.2657428,20.9697967
Braci Zaluskich 7,"Braci Zaluskich 7, Warszawa, Polska",52.2694699,20.9674893
Bracka 3,"Bracka 3, Warszawa, Polska",52.229811,21.0200583
Bracka 6/8,"Bracka 6/8, Warszawa, Polska",52.2301076,21.0202509
Bracka 9,"Bracka 9, Warszawa, Polska",52.2306428,21.018771
Brodnowska 13/15,"Brodnowska 13/15, Warszawa, Polska",52.2647316,21.0410058
Brodnowska 13/15,"Brodnowska 13/15, Warszawa, Polska",52.2647316,21.0410058
Brodnowska 4,"Brodnowska 4, Warszawa, Polska",52.2634733,21.0388259
Brylowska 4,"Brylowska 4, Warszawa, Polska",52.2239165,20.9692297
Brzeska 12,"Brzeska 12, Warszawa, Polska",52.2525164,21.0431613
Brzeska 14A,"Brzeska 14A, Warszawa, Polska",52.2526436,21.0422104
Brzozowa 39/41,"Brzozowa 39/41, Warszawa, Polska",52.2510222,21.011834
Burakowska 14,"Burakowska 14, Warszawa, Polska",52.2556631,20.9788681
sniegockiej 10,"sniegockiej 10, Warszawa, Polska",52.2267072,21.035684
sniegockiej 2,"sniegockiej 2, Warszawa, Polska",52.2272649,21.0374429
sniegockiej 2,"sniegockiej 2, Warszawa, Polska",52.2272649,21.0374429
Canaletta 2,"Canaletta 2, Warszawa, Polska",52.2430593,21.0083671
Chlodna 20,"Chlodna 20, Warszawa, Polska",52.2380417,20.9901621
Chlodna 9,"Chlodna 9, Warszawa, Polska",52.2374802,20.9926556
Chmielna 120,"Chmielna 120, Warszawa, Polska",52.2283461,20.9959836
Chmielna 126,"Chmielna 126, Warszawa, Polska",52.2280643,20.9946587
Chmielna 33,"Chmielna 33, Warszawa, Polska",52.2315353,21.0125628
Chmielna 33,"Chmielna 33, Warszawa, Polska",52.2315353,21.0125628
Chmielna 73b,"Chmielna 73b, Warszawa, Polska",52.2276442,20.9954766
Chocimska 14,"Chocimska 14, Warszawa, Polska",52.2089931,21.0239359
Chocimska 24,"Chocimska 24, Warszawa, Polska",52.2107982,21.023693
Chocimska 24,"Chocimska 24, Warszawa, Polska",52.2107982,21.023693
Chocimska 31,"Chocimska 31, Warszawa, Polska",52.2114741,21.0223726
Chocimska 31,"Chocimska 31, Warszawa, Polska",52.2114741,21.0223726
Chocimska 35,"Chocimska 35, Warszawa, Polska",52.2121919,21.0220093
Chocimska 4,"Chocimska 4, Warszawa, Polska",52.2077726,21.0243728
Chocimska 5,"Chocimska 5, Warszawa, Polska",52.2078849,21.023577
Ciasna 12,"Ciasna 12, Warszawa, Polska",52.2525273,21.0052579
Ciasna 8,"Ciasna 8, Warszawa, Polska",52.2519822,21.0058152
Cicha 3,"Cicha 3, Warszawa, Polska",52.2375484,21.0242651
Ciepla 3,"Ciepla 3, Warszawa, Polska",52.2335557,20.997137
Czerniakowska 201,"Czerniakowska 201, Warszawa, Polska",52.2263269,21.0388712
Czerniakowska 231,"Czerniakowska 231, Warszawa, Polska",52.2295796,21.0325283
Czerwonego Krzyza 4,"Czerwonego Krzyza 4, Warszawa, Polska",52.2357387,21.0302682
Czestochowska 3,"Czestochowska 3, Warszawa, Polska",52.214612,20.9783789
Czestochowska 3A,"Czestochowska 3A, Warszawa, Polska",52.2146325,20.9782042
Czestochowska 42,"Czestochowska 42, Warszawa, Polska",52.2159482,20.9725321
Czestochowska 6,"Czestochowska 6, Warszawa, Polska",52.2149163,20.9783882
Daleka 2,"Daleka 2, Warszawa, Polska",52.2222457,20.9892896
Daleka 8,"Daleka 8, Warszawa, Polska",52.2226989,20.9879283
Dabrowszczakow 14,"Dabrowszczakow 14, Warszawa, Polska",52.2626206,21.0299242
Dabrowszczakow 4,"Dabrowszczakow 4, Warszawa, Polska",52.2595788,21.0334292
Dabrowszczakow 5A,"Dabrowszczakow 5A, Warszawa, Polska",52.2611667,21.0301879
Dluga 22,"Dluga 22, Warszawa, Polska",52.2492851,21.006464
Dluga 3,"Dluga 3, Warszawa, Polska",52.250522,21.009046
Dluga 30/34,"Dluga 30/34, Warszawa, Polska",52.247501,21.0046526
Dluga 7,"Dluga 7, Warszawa, Polska",52.2499606,21.008301
Dluga 9,"Dluga 9, Warszawa, Polska",52.2495098,21.0077378
Dobra 13,"Dobra 13, Warszawa, Polska",52.2370611,21.0296159
Dobra 13,"Dobra 13, Warszawa, Polska",52.2370611,21.0296159
Dobra 17,"Dobra 17, Warszawa, Polska",52.2374668,21.0287705
Dobra 19,"Dobra 19, Warszawa, Polska",52.2379773,21.0282351
Dobra 22/24,"Dobra 22/24, Warszawa, Polska",52.2381574,21.0287659
Dobra 28,"Dobra 28, Warszawa, Polska",52.2387533,21.0280854
Dobra 4,"Dobra 4, Warszawa, Polska",52.2441522,21.1930252
Dobra 76,"Dobra 76, Warszawa, Polska",52.2447504,21.0211802
Dobra 87,"Dobra 87, Warszawa, Polska",52.2459538,21.0194188
Drawska 11,"Drawska 11, Warszawa, Polska",52.2079809,20.9562741
Drawska 19,"Drawska 19, Warszawa, Polska",52.2082656,20.9573942
Drawska 23,"Drawska 23, Warszawa, Polska",52.2085749,20.9585107
Drawska 25,"Drawska 25, Warszawa, Polska",52.208821,20.959376
Duchnicka 3,"Duchnicka 3, Warszawa, Polska",52.2565434,20.9696814
Dworkowa 1a,"Dworkowa 1a, Warszawa, Polska",52.2054756,21.0257406
Dynasy 8,"Dynasy 8, Warszawa, Polska",52.2380908,21.023104
Dzialdowska 12,"Dzialdowska 12, Warszawa, Polska",52.2360637,20.9671824
Dzielna 1,"Dzielna 1, Warszawa, Polska",52.2473736,20.9957927
Dzielna 10-12,"Dzielna 10-12, Warszawa, Polska",52.2433641,20.9826742
Dzielna 3,"Dzielna 3, Warszawa, Polska",52.247134,20.9948819
Dzielna 9,"Dzielna 9, Warszawa, Polska",52.2452783,20.9894062
Dzika 4,"Dzika 4, Warszawa, Polska",52.2526497,20.9877631
Jelinka 12,"Jelinka 12, Warszawa, Polska",52.2752009,20.9773466
Konopczynskiego 4-4a,"Konopczynskiego 4-4a, Warszawa, Polska",52.2373951,21.0217306
Plater 10,"Plater 10, Warszawa, Polska",52.2240485,21.0085331
Plater 36,"Plater 36, Warszawa, Polska",52.2347379,21.0022345
Plater 47,"Plater 47, Warszawa, Polska",52.2316624,21.002979
Plater 55,"Plater 55, Warszawa, Polska",52.2344625,21.001217
Plater Dw. Centralny,"Plater Dw. Centralny, Warszawa, Polska",0,0
Tyszkiewicza 30,"Tyszkiewicza 30, Warszawa, Polska",52.2399585,20.9676105
Tyszkiewicza 35,"Tyszkiewicza 35, Warszawa, Polska",52.2414491,20.9664083
Tyszkiewicza 6,"Tyszkiewicza 6, Warszawa, Polska",52.2379458,20.9687123
Elblaska 37,"Elblaska 37, Warszawa, Polska",52.2614128,20.9611938
Elblaska 45,"Elblaska 45, Warszawa, Polska",52.2622368,20.9612263
Elblaska 6,"Elblaska 6, Warszawa, Polska",52.2627337,20.9623629
Elblaska 65,"Elblaska 65, Warszawa, Polska",52.2658538,20.9614464
Elektoralna  26-28,"Elektoralna  26-28, Warszawa, Polska",52.238577,20.9930797
Elektoralna 12,"Elektoralna 12, Warszawa, Polska",52.2406947,20.9981947
Elektoralna 26,"Elektoralna 26, Warszawa, Polska",52.2390654,20.9938713
Elektoralna 5/7,"Elektoralna 5/7, Warszawa, Polska",52.2410992,21.0012665
Esperanto 14,"Esperanto 14, Warszawa, Polska",52.2459647,20.9808693
Esperanto 5,"Esperanto 5, Warszawa, Polska",52.2441859,20.9803419
Esperanto 9,"Esperanto 9, Warszawa, Polska",52.245853,20.9798723
Chopina  4/8,"Chopina  4/8, Warszawa, Polska",52.2230743,21.0226995
Chopina 5b,"Chopina 5b, Warszawa, Polska",52.2224913,21.0205987
Czerwijowskiego 3/5,"Czerwijowskiego 3/5, Warszawa, Polska",52.2191729,21.0221364
Czerwijowskiego 7,"Czerwijowskiego 7, Warszawa, Polska",52.2191729,21.0221364
Karpinskiego 12,"Karpinskiego 12, Warszawa, Polska",52.2708268,20.9881083
Fabryczna 16/22,"Fabryczna 16/22, Warszawa, Polska",52.2246563,21.0378369
Fabryczna 2,"Fabryczna 2, Warszawa, Polska",52.2220325,21.2302371
Fabryczna 6-8,"Fabryczna 6-8, Warszawa, Polska",52.2244238,21.0378418
Filarecka 2,"Filarecka 2, Warszawa, Polska",52.2685302,20.9836313
Filarecka 3,"Filarecka 3, Warszawa, Polska",52.2687919,20.982552
Filtrowa 34,"Filtrowa 34, Warszawa, Polska",52.2190575,21.0011204
Filtrowa 59,"Filtrowa 59, Warszawa, Polska",52.218722,20.9981268
Filtrowa 62 (1),"Filtrowa 62 (1), Warszawa, Polska",52.2189696,20.9954961
Filtrowa 62 (2),"Filtrowa 62 (2), Warszawa, Polska",52.2189696,20.9954961
Filtrowa 70,"Filtrowa 70, Warszawa, Polska",52.2198214,20.9851945
Filtrowa 71a,"Filtrowa 71a, Warszawa, Polska",52.2189482,20.9904106
Filtrowa 77,"Filtrowa 77, Warszawa, Polska",52.218787,20.9884652
Filtrowa 83,"Filtrowa 83, Warszawa, Polska",52.2188915,20.9860768
Florianska 10,"Florianska 10, Warszawa, Polska",52.2522937,21.031527
Foksal 12/14,"Foksal 12/14, Warszawa, Polska",52.2341449,21.0216967
Freta 7/9-11,"Freta 7/9-11, Warszawa, Polska",52.2526177,21.0075859
G. Bruna 14,"G. Bruna 14, Warszawa, Polska",52.208962,21.0028177
Bruna 18,"Bruna 18, Warszawa, Polska",52.2092015,21.0017297
Bruna 2,"Bruna 2, Warszawa, Polska",52.2097301,21.006312
Bruna 24,"Bruna 24, Warszawa, Polska",52.2088467,20.9996563
Bruna 32,"Bruna 32, Warszawa, Polska",52.206978,20.9995585
Bruna 4B,"Bruna 4B, Warszawa, Polska",52.2095029,21.0060853
Boduena 4,"Boduena 4, Warszawa, Polska",52.2338746,21.0130538
Gdanska 2/23,"Gdanska 2/23, Warszawa, Polska",52.2741222,20.9736631
Zajaczka  15a,"Zajaczka  15a, Warszawa, Polska",52.2611074,20.9868577
Zajaczka 13,"Zajaczka 13, Warszawa, Polska",52.2611625,20.9859269
Zajaczka 21,"Zajaczka 21, Warszawa, Polska",52.2605908,20.9847584
Zajaczka 25,"Zajaczka 25, Warszawa, Polska",52.2608051,20.9838516
Zajaczka 40,"Zajaczka 40, Warszawa, Polska",52.2614157,20.9862254
Tokarzewskiego-Karaszewicza 4,"Tokarzewskiego-Karaszewicza 4, Warszawa, Polska",52.2412365,21.0148453
Andersa 12,"Andersa 12, Warszawa, Polska",52.2508994,20.999226
Andersa 21b,"Andersa 21b, Warszawa, Polska",52.2505684,20.9977981
Andersa 6,"Andersa 6, Warszawa, Polska",52.2499189,20.999273
Gliniana  6d,"Gliniana  6d, Warszawa, Polska",52.2465421,20.9824782
Gorlicka 1,"Gorlicka 1, Warszawa, Polska",52.1951774,20.979777
Gorlicka 13,"Gorlicka 13, Warszawa, Polska",52.195913,20.9745862
Gorlicka 6,"Gorlicka 6, Warszawa, Polska",52.195947,20.9776933
Gorczewska 1,"Gorczewska 1, Warszawa, Polska",52.2366861,20.9715593
Gorczewska 10,"Gorczewska 10, Warszawa, Polska",52.2372998,20.967983
Gorczewska 16,"Gorczewska 16, Warszawa, Polska",52.2374138,20.9660421
Gorczewska 17B,"Gorczewska 17B, Warszawa, Polska",52.2367351,20.966965
Gorczewska 20,"Gorczewska 20, Warszawa, Polska",52.2377037,20.9636571
Gorczewska 21,"Gorczewska 21, Warszawa, Polska",52.2369846,20.9646576
Gorczewska 22,"Gorczewska 22, Warszawa, Polska",52.2377907,20.9627635
Gorczewska 26,"Gorczewska 26, Warszawa, Polska",52.2380273,20.9597477
Gorczewska 27/35,"Gorczewska 27/35, Warszawa, Polska",52.2371617,20.9628417
Gorczewska 37,"Gorczewska 37, Warszawa, Polska",52.2372898,20.9614539
Gorczewska 5/7/9,"Gorczewska 5/7/9, Warszawa, Polska",52.2365202,20.9703128
Gornoslaska 31,"Gornoslaska 31, Warszawa, Polska",52.2244869,21.0336949
Gornoslaska 37,"Gornoslaska 37, Warszawa, Polska",52.2245714,21.0324242
Gornoslaska 4a,"Gornoslaska 4a, Warszawa, Polska",52.2257946,21.0381351
Gornoslaska 8,"Gornoslaska 8, Warszawa, Polska",52.2253121,21.0361873
Gornoslaska 9/11,"Gornoslaska 9/11, Warszawa, Polska",52.2252493,21.0385705
Grazyny 15,"Grazyny 15, Warszawa, Polska",52.2032537,21.0195269
Grazyny 3,"Grazyny 3, Warszawa, Polska",52.2039247,21.0222946
Grenady 17,"Grenady 17, Warszawa, Polska",52.239766,20.9603741
Grenady 3F,"Grenady 3F, Warszawa, Polska",52.2401249,20.963608
Grojecka 128a,"Grojecka 128a, Warszawa, Polska",52.2037148,20.9693786
Grojecka 17a,"Grojecka 17a, Warszawa, Polska",52.221593,20.986717
Grojecka 18/20,"Grojecka 18/20, Warszawa, Polska",52.2225287,20.9861124
Grojecka 28/30,"Grojecka 28/30, Warszawa, Polska",52.2207968,20.9845504
Grojecka 31,"Grojecka 31, Warszawa, Polska",52.2204926,20.9853583
Grojecka 40,"Grojecka 40, Warszawa, Polska",52.2185898,20.9826173
Grojecka 42,"Grojecka 42, Warszawa, Polska",52.2178805,20.9819993
Grojecka 42,"Grojecka 42, Warszawa, Polska",52.2178805,20.9819993
Grojecka 45,"Grojecka 45, Warszawa, Polska",52.2163696,20.981713
Grojecka 46/50,"Grojecka 46/50, Warszawa, Polska",52.2168306,20.9811013
Grojecka 69,"Grojecka 69, Warszawa, Polska",52.2130846,20.9788164
Grojecka 72,"Grojecka 72, Warszawa, Polska",52.2128396,20.977465
Grojecka 76,"Grojecka 76, Warszawa, Polska",52.2121351,20.9768441
Grojecka 80/102,"Grojecka 80/102, Warszawa, Polska",52.2109663,20.9754227
Grojecka 95,"Grojecka 95, Warszawa, Polska",52.2093507,20.9761299
Grzybowska 37,"Grzybowska 37, Warszawa, Polska",52.2350429,20.9944283
Grzybowska 4,"Grzybowska 4, Warszawa, Polska",52.2378182,21.0019577
Grzybowska 53/57,"Grzybowska 53/57, Warszawa, Polska",52.2340368,20.9885427
Grzybowska 59,"Grzybowska 59, Warszawa, Polska",52.2339989,20.9876112
Grzybowska 90A 90A,"Grzybowska 90A 90A, Warszawa, Polska",0,0
Gwiazdzista  5d,"Gwiazdzista  5d, Warszawa, Polska",52.2766731,20.9898288
Gwiazdzista  7d,"Gwiazdzista  7d, Warszawa, Polska",52.2784855,20.9874086
Gwiazdzista 7d,"Gwiazdzista 7d, Warszawa, Polska",52.2784855,20.9874086
Czaki 2,"Czaki 2, Warszawa, Polska",52.2706939,20.9747602
Czaki 4,"Czaki 4, Warszawa, Polska",52.2704126,20.9753452
Dembinskiego 3,"Dembinskiego 3, Warszawa, Polska",52.2748886,20.9759121
Siemiradzkiego 13,"Siemiradzkiego 13, Warszawa, Polska",52.2715906,20.9771021
Siemiradzkiego 9,"Siemiradzkiego 9, Warszawa, Polska",52.2715088,20.9774943
Sienkiewicza  12/14,"Sienkiewicza  12/14, Warszawa, Polska",52.2339836,21.0103029
Sienkiewicza 3,"Sienkiewicza 3, Warszawa, Polska",52.2342266,21.0128132
Sienkiewicza 5,"Sienkiewicza 5, Warszawa, Polska",52.2341841,21.0123693
Wieniawskiego 2A,"Wieniawskiego 2A, Warszawa, Polska",52.2638774,20.9833319
Harfowa 1a,"Harfowa 1a, Warszawa, Polska",52.1999561,20.9649056
Hipoteczna 2,"Hipoteczna 2, Warszawa, Polska",52.2454588,21.0075297
Hoza  5/7,"Hoza  5/7, Warszawa, Polska",52.2275149,21.0208562
Hoza 41,"Hoza 41, Warszawa, Polska",52.2255146,21.0119374
Hoza 42,"Hoza 42, Warszawa, Polska",52.2266264,21.0146055
Hoza 57,"Hoza 57, Warszawa, Polska",52.2248152,21.0085014
Hoza 59-61,"Hoza 59-61, Warszawa, Polska",52.2258971,21.0126181
Hoza 62,"Hoza 62, Warszawa, Polska",52.2256941,21.0104508
Hoza 63/67,"Hoza 63/67, Warszawa, Polska",52.2243583,21.0066709
Hoza 88,"Hoza 88, Warszawa, Polska",52.2245183,21.0058258
Hrubieszowska 7,"Hrubieszowska 7, Warszawa, Polska",52.2298979,20.9792808
Hrubieszowska 9,"Hrubieszowska 9, Warszawa, Polska",52.2298498,20.9789256
Pereca 1,"Pereca 1, Warszawa, Polska",52.2337735,20.9961942
Pereca 16,"Pereca 16, Warszawa, Polska",52.2334645,20.9919063
Pereca 2,"Pereca 2, Warszawa, Polska",52.2345476,20.9960776
Inflancka  4b,"Inflancka  4b, Warszawa, Polska",52.2555252,20.9934971
Inflancka 4,"Inflancka 4, Warszawa, Polska",52.2559137,20.9947577
Inflancka 4,"Inflancka 4, Warszawa, Polska",52.2559137,20.9947577
Inflancka 6,"Inflancka 6, Warszawa, Polska",52.2548771,20.9917708
Inflancka 6,"Inflancka 6, Warszawa, Polska",52.2548771,20.9917708
Inzynierska 4,"Inzynierska 4, Warszawa, Polska",52.2572875,21.0371374
Iwicka 51,"Iwicka 51, Warszawa, Polska",52.2089781,21.0410826
Izabelli 9,"Izabelli 9, Warszawa, Polska",52.2659548,20.9591596
Bartoszewicza 1b,"Bartoszewicza 1b, Warszawa, Polska",52.2373805,21.0227017
Bartoszewicza 1c,"Bartoszewicza 1c, Warszawa, Polska",52.237206,21.0229158
Bartoszewicza 2,"Bartoszewicza 2, Warszawa, Polska",52.2379035,21.0215176
Bellottiego 1/3,"Bellottiego 1/3, Warszawa, Polska",52.2425036,20.9820021
Bema 70,"Bema 70, Warszawa, Polska",52.228751,20.9595832
Bema 76,"Bema 76, Warszawa, Polska",52.2309623,20.9600571
Bema 93,"Bema 93, Warszawa, Polska",52.2304343,20.9588831
Paska 5/7,"Paska 5/7, Warszawa, Polska",52.2740684,20.978229
Dabrowskiego 8,"Dabrowskiego 8, Warszawa, Polska",52.2026722,21.0214367
Dlugosza 10,"Dlugosza 10, Warszawa, Polska",52.2407468,20.9678245
Dlugosza 10,"Dlugosza 10, Warszawa, Polska",52.2407468,20.9678245
Dlugosza 19,"Dlugosza 19, Warszawa, Polska",52.2405741,20.9702183
Dlugosza 29,"Dlugosza 29, Warszawa, Polska",52.2403429,20.9685204
Ficowskiego 9,"Ficowskiego 9, Warszawa, Polska",52.2568432,20.9616791
Groszkowskiego 5,"Groszkowskiego 5, Warszawa, Polska",52.2600108,21.0304966
sniadeckich 17,"sniadeckich 17, Warszawa, Polska",52.220643,21.01382
sniadeckich 21,"sniadeckich 21, Warszawa, Polska",52.2202542,21.0130458
sniadeckich 8,"sniadeckich 8, Warszawa, Polska",52.2215918,21.0148391
Kozietulskiego 1,"Kozietulskiego 1, Warszawa, Polska",52.2637705,20.984145
Kozietulskiego 12,"Kozietulskiego 12, Warszawa, Polska",52.2655215,20.9845335
Lewartowskiego 10,"Lewartowskiego 10, Warszawa, Polska",52.2505299,20.9926631
Lewartowskiego 10,"Lewartowskiego 10, Warszawa, Polska",52.2505299,20.9926631
Lewartowskiego 17,"Lewartowskiego 17, Warszawa, Polska",52.2490339,20.989357
Mianowskiego 4,"Mianowskiego 4, Warszawa, Polska",52.2187618,20.9880072
Ostroroga  35A,"Ostroroga  35A, Warszawa, Polska",52.2516093,20.9638766
Ostroroga 20,"Ostroroga 20, Warszawa, Polska",52.2468625,20.9664793
